date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:14:35	98841/98841	---M--	200	added ('OK')	image/jpeg	etag:%2218219-57dc9d7ebb300%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/17.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/17.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:14:40	97133/97133	---M--	200	added ('OK')	image/jpeg	etag:%2217b6d-57dc9d837fe40%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/18.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/18.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:14:43	97133/97133	---M--	200	added ('OK')	image/jpeg	etag:%2217b6d-57dc9d865c500%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/19.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/19.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:14:46	109059/109059	---M--	200	added ('OK')	image/jpeg	etag:%221aa03-57dc9d8a2ce00%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/20.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/20.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:14:51	101653/101653	---M--	200	added ('OK')	image/jpeg	etag:%2218d15-57dc9d8ef1940%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/21.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/21.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:14:56	95325/95325	---M--	200	added ('OK')	image/jpeg	etag:%221745d-57dc9d92c2240%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/22.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/22.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:14:59	95071/95071	---M--	200	added ('OK')	image/jpeg	etag:%221735f-57dc9d9786d80%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/23.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/23.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:03	103849/103849	---M--	200	added ('OK')	image/jpeg	etag:%22195a9-57dc9d9c4b8c0%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/24.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/24.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:04	81745/81745	---M--	200	added ('OK')	image/jpeg	etag:%2213f51-57dc9da110400%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/25.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/25.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:13	104503/104503	---M--	200	added ('OK')	image/jpeg	etag:%2219837-57dc9da8b1600%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/26.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/26.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:15:14	97227/97227	---M--	200	added ('OK')	image/jpeg	etag:%2217bcb-57dc9dad76140%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/premios/27.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/premios/27.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
